feature,importance_gain,importance_split
ind_L079_pos_stainless_steel_sink,0.0,0
ind_L079_pos_no_water_fixture,0.0,0
count_wall_panel,0.0,0
ind_L079_pos_dining_table,0.0,0
ind_L079_neg_stainless_steel_kitchen_sink,0.0,0
ind_L079_neg_book,0.0,0
ind_L079_pos_no_storage_for_cooking_utensils,0.0,0
ind_L079_pos_no_hard_prep_surfaces,0.0,0
ind_L079_neg_sink,0.0,0
ind_L079_neg_no_storage_for_cooking_utensils,0.0,0
ind_L079_pos_stove_and_oven,0.0,0
ind_L079_pos_absence_of_storage_space,0.0,0
ind_L079_pos_book,0.0,0
ind_L079_neg_stove_and_oven,0.0,0
ind_L079_pos_wall_mounted_widescreen_tv,0.0,0
ind_L079_pos_light,0.0,0
ind_L079_pos_soft_seating_furniture,0.0,0
ind_L079_neg_light,0.0,0
ind_L079_pos_microwave,0.0,0
ind_L079_pos_hardwood_floors,0.0,0
ind_L079_pos_no_stove_or_oven,0.0,0
ind_L079_pos_no_sink,0.0,0
ind_L079_neg_large_side_by_side_refrigerator,0.0,0
ind_L079_pos_oven,0.0,0
ind_L079_pos_large_side_by_side_refrigerator,0.0,0
ind_L079_neg_granite_countertops,0.0,0
ind_L079_neg_granite_countertops_forming_u_shape,0.0,0
ind_L079_pos_granite_countertops_forming_u_shape,0.0,0
ind_L079_neg_absence_of_seating,0.0,0
ind_L079_pos_absence_of_seating,0.0,0
ind_L079_neg_oven,0.0,0
ind_L079_neg_chairs,0.0,0
ind_L079_neg_stainless_steel_sink,0.0,0
ind_L079_pos_chairs,0.0,0
ind_L079_neg_absence_of_lighting_control,0.0,0
ind_L079_pos_absence_of_lighting_control,0.0,0
ind_L079_neg_hardwood_flooring,0.0,0
ind_L079_pos_hardwood_flooring,0.0,0
ind_L079_neg_absence_of_entertainment_media,0.0,0
ind_L079_pos_absence_of_entertainment_media,0.0,0
count_wall_stone,0.0,0
presence_person,0.0,0
count_wall_other,0.0,0
presence_scissors,0.0,0
presence_gravel,0.0,0
presence_fruit,0.0,0
presence_flower,0.0,0
presence_cardboard,0.0,0
presence_bridge,0.0,0
presence_blanket,0.0,0
presence_banner,0.0,0
presence_toothbrush,0.0,0
presence_hair_drier,0.0,0
presence_teddy_bear,0.0,0
presence_vase,0.0,0
presence_cake,0.0,0
presence_clock,0.0,0
presence_book,0.0,0
presence_toaster,0.0,0
presence_microwave,0.0,0
presence_cell_phone,0.0,0
presence_keyboard,0.0,0
presence_remote,0.0,0
presence_mouse,0.0,0
presence_laptop,0.0,0
presence_toilet,0.0,0
presence_house,0.0,0
presence_mirror_stuff,0.0,0
presence_net,0.0,0
presence_pillow,0.0,0
presence_food_other_merged,0.0,0
presence_door_stuff_merged,0.0,0
presence_window_blind,0.0,0
presence_water_other,0.0,0
presence_wall_stone,0.0,0
presence_wall_panel,0.0,0
presence_wall_other,0.0,0
presence_wall_concrete,0.0,0
presence_tree_merged,0.0,0
presence_tree,0.0,0
presence_towel,0.0,0
presence_tent,0.0,0
presence_snow,0.0,0
presence_sea,0.0,0
presence_sand,0.0,0
presence_roof,0.0,0
presence_road,0.0,0
presence_river,0.0,0
presence_railroad,0.0,0
presence_playingfield,0.0,0
presence_platform,0.0,0
presence_bed,0.0,0
presence_donut,0.0,0
count_wall_concrete,0.0,0
presence_bench,0.0,0
presence_giraffe,0.0,0
presence_zebra,0.0,0
presence_bear,0.0,0
presence_elephant,0.0,0
presence_cow,0.0,0
presence_sheep,0.0,0
presence_horse,0.0,0
presence_dog,0.0,0
presence_cat,0.0,0
presence_bird,0.0,0
presence_parking_meter,0.0,0
presence_pizza,0.0,0
presence_stop_sign,0.0,0
presence_fire_hydrant,0.0,0
presence_traffic_light,0.0,0
presence_boat,0.0,0
presence_truck,0.0,0
presence_train,0.0,0
presence_bus,0.0,0
presence_airplane,0.0,0
presence_motorcycle,0.0,0
presence_car,0.0,0
presence_backpack,0.0,0
presence_umbrella,0.0,0
presence_handbag,0.0,0
presence_tie,0.0,0
presence_hot_dog,0.0,0
presence_carrot,0.0,0
presence_broccoli,0.0,0
presence_orange,0.0,0
presence_sandwich,0.0,0
presence_apple,0.0,0
presence_banana,0.0,0
